table,seq,column,is_pk,is_fk,id,type,size,description,d_has_codes
labor_input,1,id,1,,t0elTsAucL01,INTEGER,,Total labor input,
labor_input,2,year,,,c0elTsAucL01002,INTEGER,4,Year,
labor_input,3,al,,,c0elTsAucL01003,REAL,,AL,
labor_input,4,ar,,,c0elTsAucL01004,REAL,,AR,
labor_input,5,az,,,c0elTsAucL01005,REAL,,AZ,
labor_input,6,ca,,,c0elTsAucL01006,REAL,,CA,
labor_input,7,co,,,c0elTsAucL01007,REAL,,CO,
labor_input,8,ct,,,c0elTsAucL01008,REAL,,CT,
labor_input,9,de,,,c0elTsAucL01009,REAL,,DE,
labor_input,10,fl,,,c0elTsAucL0100a,REAL,,FL,
labor_input,11,ga,,,c0elTsAucL0100b,REAL,,GA,
labor_input,12,ia,,,c0elTsAucL0100c,REAL,,IA,
labor_input,13,idaho,,,c0elTsAucL0100d,REAL,,ID,
labor_input,14,il,,,c0elTsAucL0100e,REAL,,IL,
labor_input,15,in,,,c0elTsAucL0100f,REAL,,IN,
labor_input,16,ks,,,c0elTsAucL0100g,REAL,,KS,
labor_input,17,ky,,,c0elTsAucL0100h,REAL,,KY,
labor_input,18,la,,,c0elTsAucL0100i,REAL,,LA,
labor_input,19,ma,,,c0elTsAucL0100j,REAL,,MA,
labor_input,20,md,,,c0elTsAucL0100k,REAL,,MD,
labor_input,21,me,,,c0elTsAucL0100l,REAL,,ME,
labor_input,22,mi,,,c0elTsAucL0100m,REAL,,MI,
labor_input,23,mn,,,c0elTsAucL0100n,REAL,,MN,
labor_input,24,mo,,,c0elTsAucL0100o,REAL,,MO,
labor_input,25,ms,,,c0elTsAucL0100p,REAL,,MS,
labor_input,26,mt,,,c0elTsAucL0100q,REAL,,MT,
labor_input,27,nc,,,c0elTsAucL0100r,REAL,,NC,
labor_input,28,nd,,,c0elTsAucL0100s,REAL,,ND,
labor_input,29,ne,,,c0elTsAucL0100t,REAL,,NE,
labor_input,30,nh,,,c0elTsAucL0100u,REAL,,NH,
labor_input,31,nj,,,c0elTsAucL0100v,REAL,,NJ,
labor_input,32,nm,,,c0elTsAucL0100w,REAL,,NM,
labor_input,33,nv,,,c0elTsAucL0100x,REAL,,NV,
labor_input,34,ny,,,c0elTsAucL0100y,REAL,,NY,
labor_input,35,oh,,,c0elTsAucL0100z,REAL,,OH,
labor_input,36,ok,,,c0elTsAucL0100A,REAL,,OK,
labor_input,37,or,,,c0elTsAucL0100B,REAL,,OR,
labor_input,38,pa,,,c0elTsAucL0100C,REAL,,PA,
labor_input,39,ri,,,c0elTsAucL0100D,REAL,,RI,
labor_input,40,sc,,,c0elTsAucL0100E,REAL,,SC,
labor_input,41,sd,,,c0elTsAucL0100F,REAL,,SD,
labor_input,42,tn,,,c0elTsAucL0100G,REAL,,TN,
labor_input,43,tx,,,c0elTsAucL0100H,REAL,,TX,
labor_input,44,ut,,,c0elTsAucL0100I,REAL,,UT,
labor_input,45,va,,,c0elTsAucL0100J,REAL,,VA,
labor_input,46,vt,,,c0elTsAucL0100K,REAL,,VT,
labor_input,47,wa,,,c0elTsAucL0100L,REAL,,WA,
labor_input,48,wi,,,c0elTsAucL0100M,REAL,,WI,
labor_input,49,wv,,,c0elTsAucL0100N,REAL,,WV,
